captured_at_utc,category,market_id,slug,question,volume24hr_usd,volume_total_usd,end_date,options_json,results_pct_json
2026-03-02T15:19:03+00:00,world,559651,xi-jinping-out-before-2027,Xi Jinping out before 2027?,42638.74777700005,6763957.068863,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 9.05, ""No"": 90.95}"
2026-03-02T15:19:03+00:00,world,1006892,will-russia-capture-lyman-by-march-31-2026-494,"Will Russia capture Lyman by March 31, 2026?",13311.84921,538552.468831,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 22.5, ""No"": 77.5}"
2026-03-02T15:19:03+00:00,world,923366,will-anutin-charnvirakul-be-the-next-prime-minister-of-thailand-after-the-election,Will Anutin Charnvirakul be the next prime minister of Thailand?,1793.33,370342.216323,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 95.95, ""No"": 4.05}"
2026-03-02T15:19:03+00:00,world,1397269,will-russia-capture-lyman-by-june-30-2026-413,"Will Russia capture Lyman by June 30, 2026?",1130.535845,7132.590504,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 68.0, ""No"": 32.0}"
2026-03-02T15:19:03+00:00,world,1397302,will-russia-capture-lyman-by-april-30-2026,"Will Russia capture Lyman by April 30, 2026?",997.694416,28164.175064,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 40.5, ""No"": 59.5}"
2026-03-02T15:19:03+00:00,world,700881,will-israel-annex-any-territory-by-june-30,Will Israel annex any territory by June 30?,996.910975,95278.344331,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 16.05, ""No"": 83.95}"
2026-03-02T15:19:03+00:00,world,644510,spain-snap-election-called-by-june-30-2026,"Spain snap election called by June 30, 2026?",568.75,24911.840913,,"[""Yes"", ""No""]","{""Yes"": 17.5, ""No"": 82.5}"
2026-03-02T15:19:03+00:00,world,1397270,will-russia-capture-lyman-by-december-31-2026-774,"Will Russia capture Lyman by December 31, 2026?",154.815712,6583.033686,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 86.0, ""No"": 14.0}"
2026-03-02T15:19:03+00:00,world,923368,will-natthaphong-ruengpanyawut-be-the-next-prime-minister-of-thailand-after-the-election,Will Natthaphong Ruengpanyawut be the next prime minister of Thailand?,130.551,204138.479931,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.5, ""No"": 99.5}"
2026-03-02T15:19:03+00:00,world,923376,will-yodchanan-wongsawat-be-the-next-prime-minister-of-thailand,Will Yodchanan Wongsawat be the next prime minister of Thailand?,9.89,233500.684926,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.25, ""No"": 99.75}"
2026-03-02T15:19:03+00:00,world,923369,will-chaikasem-nitisiri-be-the-next-prime-minister-of-thailand-after-the-election,Will Chaikasem Nitisiri be the next prime minister of Thailand?,9.89,82804.762338,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:19:03+00:00,world,923373,will-julapun-amornvivat-be-the-next-prime-minister-of-thailand-after-the-election,Will Julapun Amornvivat be the next prime minister of Thailand?,0.0,66823.218644,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T15:19:03+00:00,world,923367,will-paetongtarn-shinawatra-be-the-next-prime-minister-of-thailand-after-the-election,Will Paetongtarn Shinawatra be the next prime minister of Thailand?,0.0,41422.811342,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T15:19:03+00:00,world,923374,will-prawit-wongsuwan-be-the-next-prime-minister-of-thailand-after-the-election,Will Prawit Wongsuwan be the next prime minister of Thailand?,0.0,35584.842355,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T15:19:03+00:00,tech,676711,will-microsoft-be-the-largest-company-in-the-world-by-market-cap-on-march-31-889,Will Microsoft be the largest company in the world by market cap on March 31?,175575.6529999999,757524.18997,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:19:03+00:00,tech,1237452,will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-february-28-846,Will NVIDIA be the largest company in the world by market cap on February 28?,164242.4457339998,3811056.540393,2026-02-28,"[""Yes"", ""No""]","{""Yes"": 99.95, ""No"": 0.05}"
2026-03-02T15:19:03+00:00,tech,676716,will-amazon-be-the-largest-company-in-the-world-by-market-cap-on-march-31-453,Will Amazon be the largest company in the world by market cap on March 31?,127018.534602,628692.152768,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:19:03+00:00,tech,676714,will-tesla-be-the-largest-company-in-the-world-by-market-cap-on-march-31,Will Tesla be the largest company in the world by market cap on March 31?,90485.48600000003,656950.468251,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:19:03+00:00,tech,1360940,deepseek-v4-released-by-march-15-678,DeepSeek V4 released by March 15?,72433.44484900004,172931.19805,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 70.5, ""No"": 29.5}"
2026-03-02T15:19:03+00:00,tech,1162139,fda-approves-retatrutide-this-year,FDA approves Retatrutide this year?,52283.45135,487928.051979,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 29.5, ""No"": 70.5}"
2026-03-02T15:19:03+00:00,tech,676715,will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-march-31,Will Saudi Aramco be the largest company in the world by market cap on March 31?,45104.366953000004,499414.803064,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.7, ""No"": 99.3}"
2026-03-02T15:19:03+00:00,tech,676710,will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-march-31-323,Will NVIDIA be the largest company in the world by market cap on March 31?,39871.63866100002,495532.367676,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 91.5, ""No"": 8.5}"
2026-03-02T15:19:03+00:00,tech,1436014,gpt-5pt3-released-by-march-8-2026,"GPT-5.3 released by March 8, 2026?",32328.829650000003,61174.645796,2026-03-08,"[""Yes"", ""No""]","{""Yes"": 66.5, ""No"": 33.5}"
2026-03-02T15:19:03+00:00,tech,801452,will-baidu-have-the-best-ai-model-at-the-end-of-march-2026-986,Will Baidu have the best AI model at the end of March 2026?,26346.3665,250695.67811,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.3, ""No"": 99.7}"
2026-03-02T15:19:03+00:00,tech,1425724,will-mrbeasts-million-dollar-puzzle-be-solved-by-march-15,Will MrBeast's million-dollar puzzle be solved by March 15?,26269.270492000003,107851.177429,2026-02-15,"[""Yes"", ""No""]","{""Yes"": 68.0, ""No"": 32.0}"
2026-03-02T15:19:03+00:00,tech,801451,will-alibaba-have-the-best-ai-model-at-the-end-of-march-2026-712,Will Alibaba have the best AI model at the end of March 2026?,26123.994500000004,239684.297195,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.25, ""No"": 99.75}"
2026-03-02T15:19:03+00:00,tech,801455,will-deepseek-have-the-best-ai-model-at-the-end-of-march-2026-113,Will DeepSeek have the best AI model at the end of March 2026?,25657.099892,357787.48267,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 2.75, ""No"": 97.25}"
2026-03-02T15:19:03+00:00,tech,801457,will-mistral-have-the-best-ai-model-at-the-end-of-march-2026-494,Will Mistral have the best AI model at the end of March 2026?,22715.450999999994,256622.735212,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:19:03+00:00,tech,631124,will-zai-have-the-top-ai-model-at-the-end-of-june-2026-987,Will Z.ai have the top AI model at the end of June 2026?,22080.0,111820.349002,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 3.05, ""No"": 96.95}"
2026-03-02T15:19:03+00:00,tech,1460857,anthropic-ceo-arrested,Anthropic CEO arrested?,18782.758172,70408.347131,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 4.45, ""No"": 95.55}"
2026-03-02T15:19:03+00:00,tech,801456,will-moonshot-have-the-best-ai-model-at-the-end-of-march-2026-924,Will Moonshot have the best AI model at the end of March 2026?,18638.253500000003,333087.313762,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.25, ""No"": 99.75}"
2026-03-02T15:19:03+00:00,tech,801450,will-openai-have-the-best-ai-model-at-the-end-of-march-2026-562,Will OpenAI have the best AI model at the end of March 2026?,18242.571949999998,297037.411518,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 9.75, ""No"": 90.25}"
2026-03-02T15:19:03+00:00,tech,1370552,gpt-5pt3-released-by-march-31-2026-735-745-742,"GPT-5.3 released by March 31, 2026?",18110.182520000002,154752.515254,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 95.75, ""No"": 4.25}"
2026-03-02T15:19:03+00:00,tech,1203147,will-elon-musk-buy-ryanair,Will Elon Musk buy Ryanair?,16887.776741,2629005.692974,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 1.95, ""No"": 98.05}"
2026-03-02T15:43:53+00:00,world,559651,xi-jinping-out-before-2027,Xi Jinping out before 2027?,42638.74777700005,6764073.552308,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 9.05, ""No"": 90.95}"
2026-03-02T15:43:53+00:00,world,1006892,will-russia-capture-lyman-by-march-31-2026-494,"Will Russia capture Lyman by March 31, 2026?",13311.84921,538552.468831,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 21.0, ""No"": 79.0}"
2026-03-02T15:43:53+00:00,world,923366,will-anutin-charnvirakul-be-the-next-prime-minister-of-thailand-after-the-election,Will Anutin Charnvirakul be the next prime minister of Thailand?,1793.33,370342.216323,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 95.95, ""No"": 4.05}"
2026-03-02T15:43:53+00:00,world,1397269,will-russia-capture-lyman-by-june-30-2026-413,"Will Russia capture Lyman by June 30, 2026?",1130.535845,7132.590504,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 68.0, ""No"": 32.0}"
2026-03-02T15:43:53+00:00,world,1397302,will-russia-capture-lyman-by-april-30-2026,"Will Russia capture Lyman by April 30, 2026?",997.694416,28164.175064,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 40.5, ""No"": 59.5}"
2026-03-02T15:43:53+00:00,world,700881,will-israel-annex-any-territory-by-june-30,Will Israel annex any territory by June 30?,996.910975,95278.344331,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 17.1, ""No"": 82.9}"
2026-03-02T15:43:53+00:00,world,644510,spain-snap-election-called-by-june-30-2026,"Spain snap election called by June 30, 2026?",568.75,24911.840913,,"[""Yes"", ""No""]","{""Yes"": 17.5, ""No"": 82.5}"
2026-03-02T15:43:53+00:00,world,1397270,will-russia-capture-lyman-by-december-31-2026-774,"Will Russia capture Lyman by December 31, 2026?",154.815712,6583.033686,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 86.0, ""No"": 14.0}"
2026-03-02T15:43:53+00:00,world,923368,will-natthaphong-ruengpanyawut-be-the-next-prime-minister-of-thailand-after-the-election,Will Natthaphong Ruengpanyawut be the next prime minister of Thailand?,130.551,204138.479931,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.45, ""No"": 99.55}"
2026-03-02T15:43:53+00:00,world,923376,will-yodchanan-wongsawat-be-the-next-prime-minister-of-thailand,Will Yodchanan Wongsawat be the next prime minister of Thailand?,9.89,233500.684926,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.25, ""No"": 99.75}"
2026-03-02T15:43:53+00:00,world,923369,will-chaikasem-nitisiri-be-the-next-prime-minister-of-thailand-after-the-election,Will Chaikasem Nitisiri be the next prime minister of Thailand?,9.89,82804.762338,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:43:53+00:00,world,923373,will-julapun-amornvivat-be-the-next-prime-minister-of-thailand-after-the-election,Will Julapun Amornvivat be the next prime minister of Thailand?,0.0,66823.218644,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T15:43:53+00:00,world,923367,will-paetongtarn-shinawatra-be-the-next-prime-minister-of-thailand-after-the-election,Will Paetongtarn Shinawatra be the next prime minister of Thailand?,0.0,41422.811342,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T15:43:53+00:00,world,923374,will-prawit-wongsuwan-be-the-next-prime-minister-of-thailand-after-the-election,Will Prawit Wongsuwan be the next prime minister of Thailand?,0.0,35584.842355,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T15:43:53+00:00,tech,676711,will-microsoft-be-the-largest-company-in-the-world-by-market-cap-on-march-31-889,Will Microsoft be the largest company in the world by market cap on March 31?,175575.6529999999,757853.40997,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:43:53+00:00,tech,1237452,will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-february-28-846,Will NVIDIA be the largest company in the world by market cap on February 28?,164242.4457339998,3811140.930393,2026-02-28,"[""Yes"", ""No""]","{""Yes"": 99.95, ""No"": 0.05}"
2026-03-02T15:43:53+00:00,tech,676716,will-amazon-be-the-largest-company-in-the-world-by-market-cap-on-march-31-453,Will Amazon be the largest company in the world by market cap on March 31?,127018.534602,628907.922768,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:43:53+00:00,tech,676714,will-tesla-be-the-largest-company-in-the-world-by-market-cap-on-march-31,Will Tesla be the largest company in the world by market cap on March 31?,90485.48600000003,657269.341251,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:43:53+00:00,tech,1360940,deepseek-v4-released-by-march-15-678,DeepSeek V4 released by March 15?,72433.44484900004,175437.068465,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 70.5, ""No"": 29.5}"
2026-03-02T15:43:53+00:00,tech,1162139,fda-approves-retatrutide-this-year,FDA approves Retatrutide this year?,52283.45135,487928.051979,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 29.5, ""No"": 70.5}"
2026-03-02T15:43:53+00:00,tech,676715,will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-march-31,Will Saudi Aramco be the largest company in the world by market cap on March 31?,45104.366953000004,499648.573064,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.65, ""No"": 99.35}"
2026-03-02T15:43:53+00:00,tech,676710,will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-march-31-323,Will NVIDIA be the largest company in the world by market cap on March 31?,39871.63866100002,495786.63376,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 91.5, ""No"": 8.5}"
2026-03-02T15:43:53+00:00,tech,1436014,gpt-5pt3-released-by-march-8-2026,"GPT-5.3 released by March 8, 2026?",32328.829650000003,61477.476846,2026-03-08,"[""Yes"", ""No""]","{""Yes"": 67.5, ""No"": 32.5}"
2026-03-02T15:43:53+00:00,tech,801452,will-baidu-have-the-best-ai-model-at-the-end-of-march-2026-986,Will Baidu have the best AI model at the end of March 2026?,26346.3665,250695.67811,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.3, ""No"": 99.7}"
2026-03-02T15:43:53+00:00,tech,1425724,will-mrbeasts-million-dollar-puzzle-be-solved-by-march-15,Will MrBeast's million-dollar puzzle be solved by March 15?,26269.270492000003,107853.557429,2026-02-15,"[""Yes"", ""No""]","{""Yes"": 68.5, ""No"": 31.5}"
2026-03-02T15:43:53+00:00,tech,801451,will-alibaba-have-the-best-ai-model-at-the-end-of-march-2026-712,Will Alibaba have the best AI model at the end of March 2026?,26123.994500000004,239684.297195,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.25, ""No"": 99.75}"
2026-03-02T15:43:53+00:00,tech,801455,will-deepseek-have-the-best-ai-model-at-the-end-of-march-2026-113,Will DeepSeek have the best AI model at the end of March 2026?,25657.099892,358635.44267,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 2.45, ""No"": 97.55}"
2026-03-02T15:43:53+00:00,tech,801457,will-mistral-have-the-best-ai-model-at-the-end-of-march-2026-494,Will Mistral have the best AI model at the end of March 2026?,22715.450999999994,256732.815212,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:43:53+00:00,tech,631124,will-zai-have-the-top-ai-model-at-the-end-of-june-2026-987,Will Z.ai have the top AI model at the end of June 2026?,22080.0,111820.349002,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 3.05, ""No"": 96.95}"
2026-03-02T15:43:53+00:00,tech,1460857,anthropic-ceo-arrested,Anthropic CEO arrested?,18782.758172,75587.977345,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 4.75, ""No"": 95.25}"
2026-03-02T15:43:53+00:00,tech,801456,will-moonshot-have-the-best-ai-model-at-the-end-of-march-2026-924,Will Moonshot have the best AI model at the end of March 2026?,18638.253500000003,333087.313762,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.25, ""No"": 99.75}"
2026-03-02T15:43:53+00:00,tech,801450,will-openai-have-the-best-ai-model-at-the-end-of-march-2026-562,Will OpenAI have the best AI model at the end of March 2026?,18242.571949999998,297383.417098,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 9.95, ""No"": 90.05}"
2026-03-02T15:43:53+00:00,tech,1370552,gpt-5pt3-released-by-march-31-2026-735-745-742,"GPT-5.3 released by March 31, 2026?",18110.182520000002,156333.615254,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 95.25, ""No"": 4.75}"
2026-03-02T15:43:53+00:00,tech,1203147,will-elon-musk-buy-ryanair,Will Elon Musk buy Ryanair?,16887.776741,2629117.261196,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 1.9, ""No"": 98.1}"
2026-03-02T16:16:27+00:00,world,559651,xi-jinping-out-before-2027,Xi Jinping out before 2027?,42638.74777700005,6764212.705013,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 9.05, ""No"": 90.95}"
2026-03-02T16:16:27+00:00,world,1006892,will-russia-capture-lyman-by-march-31-2026-494,"Will Russia capture Lyman by March 31, 2026?",13311.84921,538552.468831,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 22.5, ""No"": 77.5}"
2026-03-02T16:16:27+00:00,world,923366,will-anutin-charnvirakul-be-the-next-prime-minister-of-thailand-after-the-election,Will Anutin Charnvirakul be the next prime minister of Thailand?,1793.33,370348.106323,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 96.25, ""No"": 3.75}"
2026-03-02T16:16:27+00:00,world,1397269,will-russia-capture-lyman-by-june-30-2026-413,"Will Russia capture Lyman by June 30, 2026?",1130.535845,7132.590504,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 68.0, ""No"": 32.0}"
2026-03-02T16:16:27+00:00,world,1397302,will-russia-capture-lyman-by-april-30-2026,"Will Russia capture Lyman by April 30, 2026?",997.694416,28164.175064,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 41.0, ""No"": 59.0}"
2026-03-02T16:16:27+00:00,world,700881,will-israel-annex-any-territory-by-june-30,Will Israel annex any territory by June 30?,996.910975,95278.344331,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 17.05, ""No"": 82.95}"
2026-03-02T16:16:27+00:00,world,644510,spain-snap-election-called-by-june-30-2026,"Spain snap election called by June 30, 2026?",568.75,24911.840913,,"[""Yes"", ""No""]","{""Yes"": 17.5, ""No"": 82.5}"
2026-03-02T16:16:27+00:00,world,1397270,will-russia-capture-lyman-by-december-31-2026-774,"Will Russia capture Lyman by December 31, 2026?",154.815712,6583.033686,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 86.0, ""No"": 14.0}"
2026-03-02T16:16:27+00:00,world,923368,will-natthaphong-ruengpanyawut-be-the-next-prime-minister-of-thailand-after-the-election,Will Natthaphong Ruengpanyawut be the next prime minister of Thailand?,130.551,204138.479931,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.45, ""No"": 99.55}"
2026-03-02T16:16:27+00:00,world,923376,will-yodchanan-wongsawat-be-the-next-prime-minister-of-thailand,Will Yodchanan Wongsawat be the next prime minister of Thailand?,9.89,233500.684926,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.25, ""No"": 99.75}"
2026-03-02T16:16:27+00:00,world,923369,will-chaikasem-nitisiri-be-the-next-prime-minister-of-thailand-after-the-election,Will Chaikasem Nitisiri be the next prime minister of Thailand?,9.89,82804.762338,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T16:16:27+00:00,world,923373,will-julapun-amornvivat-be-the-next-prime-minister-of-thailand-after-the-election,Will Julapun Amornvivat be the next prime minister of Thailand?,0.0,66823.218644,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T16:16:27+00:00,world,923367,will-paetongtarn-shinawatra-be-the-next-prime-minister-of-thailand-after-the-election,Will Paetongtarn Shinawatra be the next prime minister of Thailand?,0.0,41422.811342,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T16:16:27+00:00,world,923374,will-prawit-wongsuwan-be-the-next-prime-minister-of-thailand-after-the-election,Will Prawit Wongsuwan be the next prime minister of Thailand?,0.0,35584.842355,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T16:16:27+00:00,tech,676711,will-microsoft-be-the-largest-company-in-the-world-by-market-cap-on-march-31-889,Will Microsoft be the largest company in the world by market cap on March 31?,175575.6529999999,758158.82597,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T16:16:27+00:00,tech,1237452,will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-february-28-846,Will NVIDIA be the largest company in the world by market cap on February 28?,164242.4457339998,3812615.970393,2026-02-28,"[""Yes"", ""No""]","{""Yes"": 99.95, ""No"": 0.05}"
2026-03-02T16:16:27+00:00,tech,676716,will-amazon-be-the-largest-company-in-the-world-by-market-cap-on-march-31-453,Will Amazon be the largest company in the world by market cap on March 31?,127018.534602,629007.372768,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
